time_ms,COMSOL_L_A,COMSOL_R_A,Elmer_L_A,Elmer_R_A
25.346001000001653,1.0087223763976804e-08,3.96210740106687e-08,-4.429079063426292e-07,-4.4152202747826984e-07
25.351001000001656,1.007921343270496e-08,3.9613064235707484e-08,-4.428781033561074e-07,-4.415023609703457e-07
25.35600100000166,1.0071203101433117e-08,3.9605054460746265e-08,-4.4285275423904197e-07,-4.4149359640932866e-07
25.36100100000166,1.0063192770161273e-08,3.9597044685785047e-08,-4.428202440717678e-07,-4.4148404126001365e-07
25.36600100000166,1.0055182438889437e-08,3.958903491082384e-08,-4.427981922316504e-07,-4.414632806763589e-07
25.371001000001662,1.0047172107617593e-08,3.958102513586262e-08,-4.4276560573085124e-07,-4.4144067634681794e-07
25.376001000001665,1.003916177634575e-08,3.9573015360901404e-08,-4.4273249084905643e-07,-4.4142361698754876e-07
25.381001000001664,1.0031151445073913e-08,3.956500558594019e-08,-4.427211566660882e-07,-4.414004732968902e-07
25.386001000001666,1.002314111380207e-08,3.955699581097898e-08,-4.4269262522753745e-07,-4.4139356254442944e-07
25.39100100000167,1.0015130782530226e-08,3.954898603601776e-08,-4.4267031788138163e-07,-4.4137240045311727e-07
25.39600100000167,1.0007120451258383e-08,3.954097626105654e-08,-4.4264299857879976e-07,-4.4135712106503806e-07
25.40100100000167,9.999110119986544e-09,3.953296648609533e-08,-4.42616022984678e-07,-4.413433186623765e-07
25.406001000001673,9.9910997887147e-09,3.952495671113411e-08,-4.425892150523934e-07,-4.413325853901953e-07
25.411001000001676,9.983089457442857e-09,3.95169469361729e-08,-4.425632234479897e-07,-4.413175460472147e-07
25.416001000001675,9.97507912617102e-09,3.950893716121169e-08,-4.425346533667388e-07,-4.412957581835465e-07
25.421001000001677,9.967068794899177e-09,3.950092738625047e-08,-4.4251493506726296e-07,-4.4128105212225374e-07
25.42600100000168,9.959058463627334e-09,3.949291761128925e-08,-4.424829786610731e-07,-4.412538561004791e-07
25.431001000001682,9.95104813235549e-09,3.948490783632804e-08,-4.4244628128110213e-07,-4.412275319512927e-07
