% Model:              0902gakkai715uA.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jul 13 2026, 23:25
% Table:              プローブテーブル 1 - 
% 時間 (ms)                                         温度 (K), 吸収体                                       温度 (K), StyCast                                   温度 (K), TES                                       アンペアメーターを通る電流 # (µA)                              TES R(T) (mΩ), TES R
28.330000000000002                                0.16904207561028858                               0.16887248013950076                               0.16870106389461909                               139.01003182719384                                16.159685732924054
28.340000000000003                                0.16904168691223215                               0.16887223559328365                               0.16870096476773982                               139.0134333437246                                 16.159194918459253
28.35                                             0.16904129854455552                               0.1688719912547666                                0.16870086572480056                               139.01683201477292                                16.158704538567246
28.36                                             0.16904091050698508                               0.1688717471237727                                0.16870076676572676                               139.02022784268067                                16.158214592846026
28.37                                             0.16904052279923573                               0.16887150320012678                               0.16870066789045068                               139.02362082979312                                16.15772508089687
28.380000000000003                                0.1690401354210269                                0.16887125948364848                               0.16870056909890066                               139.02701097845133                                16.157236002320325
28.39                                             0.1690397483720775                                0.1688710159741667                                0.16870047039100539                               139.03039829099328                                16.156747356716373
28.400000000000002                                0.16903936165210803                               0.16887077267150336                               0.16870037176669486                               139.03378276975832                                16.156259143687414
28.410000000000004                                0.16903897526084175                               0.1688705295754831                                0.16870027322589665                               139.0371644170803                                 16.15577136283451
28.42                                             0.16903858919800574                               0.16887028668593182                               0.1687001747685429                                139.04054323529297                                16.15528401375958
28.43                                             0.16903820346329865                               0.16887004400267078                               0.1687000763945609                                139.04391922672852                                16.154797096065636
28.44                                             0.16903781805645576                               0.16886980152552505                               0.16869997810388151                               139.0472923937163                                 16.154310609354965
28.450000000000003                                0.169037432977202                                 0.1688695592543229                                0.1686998798964342                                139.05066273858478                                16.15382455323142
28.46                                             0.16903704822523463                               0.16886931718888673                               0.168699781772147                                 139.05403026365974                                16.153338927298453
28.470000000000002                                0.16903666380031737                               0.16886907532904236                               0.1686996837309512                                139.05739497126504                                16.152853731159762
28.48                                             0.16903627970213045                               0.16886883367461306                               0.16869958577277613                               139.06075686372435                                16.152368964420027
28.490000000000002                                0.16903589593042181                               0.16886859222542644                               0.16869948789755154                               139.06411594335853                                16.15188462668461
28.5                                              0.1690355124849067                                0.16886835098130754                               0.16869939010520787                               139.0674722124847                                 16.151400717557607
28.51                                             0.16903512936529624                               0.16886810994208246                               0.1686992923956748                                139.07082567342115                                16.150917236645334
28.520000000000003                                0.16903474657132905                               0.16886786910757576                               0.1686991947688819                                139.0741763284829                                 16.150434183553873
28.53                                             0.16903436410272327                               0.16886762847761425                               0.16869909722475865                               139.0775241799821                                 16.149951557889388
28.540000000000003                                0.16903398195919564                               0.1688673880520261                                0.16869899976323596                               139.08086923022947                                16.149469359258255
28.55                                             0.16903360014047686                               0.16886714783063378                               0.16869890238424462                               139.0842114815364                                 16.14898758726854
28.560000000000002                                0.16903321864628248                               0.16886690781326713                               0.16869880508771473                               139.08755093620945                                16.148506241527127
28.57                                             0.16903283747634207                               0.168866667999751                                 0.16869870787357538                               139.09088759655438                                16.148025321641935
28.580000000000002                                0.16903245663038313                               0.16886642838991148                               0.16869861074175696                               139.09422146487609                                16.147544827221584
28.590000000000003                                0.16903207610812754                               0.16886618898357603                               0.1686985136921912                                139.0975525434767                                 16.147064757874777
28.6                                              0.16903169590929068                               0.16886594978057262                               0.16869841672480831                               139.1008808346556                                 16.146585113210357
28.61                                             0.16903131603360858                               0.16886571078072776                               0.16869831983953776                               139.10420634071076                                16.146105892837625
28.62                                             0.16903093648080333                               0.16886547198386978                               0.16869822303631077                               139.10752906394035                                16.145627096367207
28.630000000000003                                0.16903055725059954                               0.1688652333898246                                0.16869812631505804                               139.11084900663712                                16.145148723408333
28.64                                             0.16903017834271772                               0.16886499499842056                               0.1686980296757109                                139.1141661710959                                 16.144670773572535
28.650000000000002                                0.16902979975689503                               0.16886475680948568                               0.16869793311819864                               139.11748055960715                                16.144193246470227
